Difficulty,Category,Question,Option A,Option B,Option C,Correct Answer
Easy,Tournament,How many teams will play in the 2026 World Cup?,32,40,48,48
Easy,Tournament,In which month does the 2026 World Cup begin?,May,June,July,June
Easy,Tournament,What is the total number of groups in 2026?,8,12,16,12
Easy,Tournament,Which North American country is a co-host of the 2026 tournament?,United States,England,Japan,United States
Easy,Tournament,How many players per team are allowed on the pitch?,10,11,12,11
Easy,Tournament,What color card does a referee show to completely expel a player?,Yellow,Green,Red,Red
Easy,Tournament,Which country is not hosting the 2026 World Cup?,USA,Mexico,Brazil,Brazil
Easy,Tournament,Which host city is in Canada for 2026?,Toronto,Montreal,Vancouver,Toronto
Easy,Tournament,Where will the 2026 final be played?,Los Angeles,New York,Dallas,New York
Easy,Tournament,What is the shape of a standard soccer ball?,Sphere,Cube,Pyramid,Sphere
Easy,Tournament,How often is the FIFA World Cup held?,Every 2 years,Every 4 years,Every 6 years,Every 4 years
Easy,Tournament,What part of the body cannot touch the ball?,Head,Chest,Hands,Hands
Easy,Tournament,What is the maximum duration of a regular match?,90 minutes,100 minutes,120 minutes,90 minutes
Easy,Tournament,What do winners of the World Cup receive?,Gold medal,World Cup Trophy,Silver plate,World Cup Trophy
Easy,Tournament,Who is the current president of FIFA?,Sepp Blatter,Gianni Infantino,Michel Platini,Gianni Infantino
Easy,Tournament,How many referees are on the field during a match?,1,2,3,1
Easy,Tournament,How long is halftime in a World Cup match?,10 minutes,15 minutes,20 minutes,15 minutes
Easy,Tournament,What happens if a knockout match ends in a draw?,Rematch,Extra time,Coin toss,Extra time
Easy,Tournament,How many substitutions are typically allowed in regular time?,3,5,7,5
Easy,Tournament,What does VAR stand for?,Video Assistant Referee,Visual Action Replay,Virtual Attack Rating,Video Assistant Referee
Easy,Tournament,Which host country will have the most stadiums in 2026?,USA,Mexico,Canada,USA
Easy,Tournament,Which type of kick restarts play after a foul?,Corner kick,Free kick,Goal kick,Free kick
Easy,Tournament,What color is the standard referee uniform?,Neon yellow,Black,Both are common,Both are common
Easy,Tournament,Which flag signals an offside player?,Red flag,Checkered flag,Yellow and orange flag,Yellow and orange flag
Easy,History,Who won the World Cup in 2014?,Germany,Argentina,Netherlands,Germany
Easy,History,Which country hosted the 1994 World Cup?,USA,Italy,France,USA
Easy,History,Who won the World Cup in 2018?,France,Croatia,Belgium,France
Easy,History,Which country hosted the 2014 World Cup?,Germany,Brazil,South Africa,Brazil
Easy,History,Which country hosted the 2022 FIFA World Cup?,Russia,Qatar,Brazil,Qatar
Easy,History,Who won the first ever World Cup in 1930?,Argentina,Uruguay,Brazil,Uruguay
Easy,History,Which country hosted the 2006 World Cup?,Germany,Italy,France,Germany
Easy,History,Which continent has won the most World Cups?,South America,Europe,Africa,Europe
Easy,History,Which nation won the World Cup in 2006?,Italy,France,Germany,Italy
Easy,History,Which nation won the World Cup in 1998?,Brazil,France,Italy,France
Easy,History,Which country won the World Cup in 1986?,Argentina,West Germany,Brazil,Argentina
Easy,History,Which country hosted the 2010 World Cup?,South Africa,Brazil,Germany,South Africa
